"戒律,"アドバイス", "ジャンル"
"ケーキを我慢する","ケーキ美味しいよね","ダイエットする"
"ケーキを我慢する","ケーキ美味しいよね","病気になりにくい体を作る"
"ケーキを我慢する","ケーキ美味しいよね","お金を節約する"
"デザートを食べない","甘いもの食べれば頭が働くとか甘えだぞ","ダイエットする"
"デザートを食べない","甘いもの食べれば頭が働くとか甘えだぞ","病気になりにくい体を作る"
"デザートを食べない","甘いもの食べれば頭が働くとか甘えだぞ","お金を節約する"
"甘いものを食べない","糖分を摂り過ぎると眠気が出てくるよ","ダイエットする"
"甘いものを食べない","糖分を摂り過ぎると眠気が出てくるよ","病気になりにくい体を作る"
"甘いものを食べない","糖分を摂り過ぎると眠気が出てくるよ","お金を節約する"
"カップラーメンを食べない","栄養あるもの食べたほうがいいよ","ダイエットする"
"カップラーメンを食べない","栄養あるもの食べたほうがいいよ","病気になりにくい体を作る"
"カップラーメンを食べない","栄養あるもの食べたほうがいいよ","お金を節約する"
"ラーメンを食べない","もしかしてジロリアン？","ダイエットする"
"ラーメンを食べない","もしかしてジロリアン？","病気になりにくい体を作る"
"ラーメンを食べない","もしかしてジロリアン？","お金を節約する"
"夕食を3割減らす（ただし、ご飯は残さないこと）","まあ、今日くらいはいんじゃない","ダイエットする"
"夕食を3割減らす（ただし、ご飯は残さないこと）","まあ、今日くらいはいんじゃない","ご飯の幸せを考える"
"夕食を3割減らす（ただし、ご飯は残さないこと）","まあ、今日くらいはいんじゃない","お金を節約する"
"夕食を5割減らす","ダイエットはやめたの？","ダイエットする","ご飯の幸せを考える"
"夕食を5割減らす","ダイエットはやめたの？","ダイエットする","お金を節約する"
"昼食を3割減らす","せめて野菜食べろよ","ダイエットする","ご飯の幸せを考える"
"昼食を3割減らす","せめて野菜食べろよ","ダイエットする","お金を節約する"
"昼食を5割減らす","隣の席のやつが君のこと好きだってよ","ダイエットする"
"昼食を5割減らす","隣の席のやつが君のこと好きだってよ","ご飯の幸せを考える"
"昼食を5割減らす","隣の席のやつが君のこと好きだってよ","お金を節約する"
"お肉を食べない","肉１キロを生産するのに、１０キロの穀物が必要なんだよ","ダイエットする"
"お肉を食べない","肉１キロを生産するのに、１０キロの穀物が必要なんだよ","病気になりにくい体を作る"
"お肉を食べない","肉１キロを生産するのに、１０キロの穀物が必要なんだよ","ご飯の幸せを考える"
"昼食にサラダを食べる","野菜は美肌に欠かせないよ","ダイエットする"
"昼食にサラダを食べる","野菜は美肌に欠かせないよ","病気になりにくい体を作る"
"夕食にサラダを食べる","野菜、肉・乳製品などバランスよく食べよう","ダイエットする"
"夕食にサラダを食べる","野菜、肉・乳製品などバランスよく食べよう","病気になりにくい体を作る"
"お酒を控える","アルコールの依存性はコカインより高いと言われているんだよ。何回も我慢できなかったら依存症のサインかも。","ダイエットする"
"お酒を控える","アルコールの依存性はコカインより高いと言われているんだよ。何回も我慢できなかったら依存症のサインかも。","病気になりにくい体を作る"
"お酒を控える","アルコールの依存性はコカインより高いと言われているんだよ。何回も我慢できなかったら依存症のサインかも。","依存症をチェックする"
"お酒を控える","アルコールの依存性はコカインより高いと言われているんだよ。何回も我慢できなかったら依存症のサインかも。","お金を節約する"
"コーヒーを飲まない","目覚めるよね","依存症をチェックする"
"夕食に旬のお魚を食べる","この時期は鮎やかつおがおすすめだよ","家族の健康を考える"
"夕食に旬のお魚を食べる","この時期は鮎やかつおがおすすめだよ","ご飯の幸せを考える","
"夕食に旬の野菜を食べる","これからはきゅうりやトマトが美味しいよ","家族の健康を考える"
"夕食に旬の野菜を食べる","これからはきゅうりやトマトが美味しいよ","ご飯の幸せを考える"
"プチ断食にチャレンジする","胃をキレイにすることで、いつもと違った気分で目が覚めるよ。ダイエットにも効果があるらしいよ。","ダイエットする"
"プチ断食にチャレンジする","胃をキレイにすることで、いつもと違った気分で目が覚めるよ。ダイエットにも効果があるらしいよ。","病気になりにくい体を作る"
"プチ断食にチャレンジする","胃をキレイにすることで、いつもと違った気分で目が覚めるよ。ダイエットにも効果があるらしいよ。","ご飯の幸せを考える"
"プチ断食にチャレンジする","胃をキレイにすることで、いつもと違った気分で目が覚めるよ。ダイエットにも効果があるらしいよ。","お金を節約する"
"ご飯をお代わりしない","食べ盛りなんだね。","病気になりにくい体を作る"
"ご飯をお代わりしない,"食べ盛りなんだね。","ご飯の幸せを考える"
"ご飯をお代わりしない","食べ盛りなんだね。","ダイエットする"
"玄米を食べる","玄米はビタミンEが豊富だよ。","ダイエットする"
"玄米を食べる","玄米はビタミンEが豊富だよ。","病気になりにくい体を作る"
"玄米を食べる","玄米はビタミンEが豊富だよ。","ご飯の幸せを考える","
"夕食のおかずは一汁三菜にする","最近バランスボールにはまってるんだ。","ダイエットする"
"夕食のおかずは一汁三菜にする","最近バランスボールにはまってるんだ。","病気になりにくい体を作る"
"夕食のおかずは一汁三菜にする","最近バランスボールにはまってるんだ。","家族の健康を考える"
"夕食のおかずは一汁三菜にする","最近バランスボールにはまってるんだ。","ご飯の幸せを考える","
"夜8時以降に食べない","夕食をしっかり消化してから寝ると、朝の寝覚めがいいよ。","ダイエットする"
"夜8時以降に食べない","夕食をしっかり消化してから寝ると、朝の寝覚めがいいよ。","病気になりにくい体を作る"
"寝る前に白湯を飲む","お腹をあたためると消化がよくなるよ","病気になりにくい体を作る"
"寝る前に白湯を飲む","お腹をあたためると消化がよくなるよ","家族の健康を考える"
"寝る前に白湯を飲む","お腹をあたためると消化がよくなるよ","ダイエットする"
"おやつを食べない","ぼくはドーナツ派かな","ダイエットする"
"おやつを食べない","ぼくはドーナツ派かな","病気になりにくい体を作る"
"おやつを食べない","ぼくはドーナツ派かな","依存症をチェックする",,,"お金を節約する"
"おやつを食べない","ぼくはドーナツ派かな","お金を節約する"
"夕食は自炊する","きょうはお家でゆっくりご飯食べよう","ダイエットする"
"夕食は自炊する","きょうはお家でゆっくりご飯食べよう","病気になりにくい体を作る"
"夕食は自炊する","きょうはお家でゆっくりご飯食べよう","お金を節約する"
"コンビニでご飯を買わない","コンビニのご飯はちょっとカロリーが高め","病気になりにくい体を作る"
"コンビニでご飯を買わない","コンビニのご飯はちょっとカロリーが高め","お金を節約する"
"食べ物を作った人のことを考える","ときどき自然のことを考えるのもいいよね","病気になりにくい体を作る"
"夕食時に黒烏龍茶を飲む","普通の烏龍茶もけっこう黒いよね","ダイエットする"
"夕食時に黒烏龍茶を飲む","普通の烏龍茶もけっこう黒いよね","病気になりにくい体を作る"
"家族全員が残さずご飯を食べる","ご飯が食べられることに感謝しないとね","病気になりにくい体を作る"
"家族全員が残さずご飯を食べる","ご飯が食べられることに感謝しないとね","家族の健康を考える"
"家族全員が残さずご飯を食べる","ご飯が食べられることに感謝しないとね","ご飯の幸せを考える"
"料理の塩分を思い切って減らしてみる","涙の味がするってよ","ダイエットする"
"料理の塩分を思い切って減らしてみる","涙の味がするってよ","病気になりにくい体を作る"
"夕食にけんちん汁を作る","けんちん汁は鎌倉建長寺に由来するんだ","ご飯の幸せを考える"
"お豆腐屋でお豆腐を買ってみる","あの豆腐売りの笛の音最近聞かないよね","ご飯の幸せを考える"
"お豆腐屋で揚げ豆腐を買ってみる","揚げ豆腐って大豆でできてるんだぜ","ご飯の幸せを考える"
"ご飯に玄米を混ぜてみる","玄米は栄養豊富だよ","ダイエットする"
"ご飯に玄米を混ぜてみる","玄米は栄養豊富だよ","病気になりにくい体を作る"
"ご飯を30回噛んでから飲み込む","おなか空いたなあ","ダイエットする"
"ご飯を30回噛んでから飲み込む","おなか空いたなあ","病気になりにくい体を作る"
"ご飯を30回噛んでから飲み込む","おなか空いたなあ","ご飯の幸せを考える"
"ご飯と一緒に温かいお茶を飲む","野球だとどこファンですか？","ダイエットする"
"ご飯と一緒に温かいお茶を飲む","野球だとどこファンですか？","病気になりにくい体を作る"
"夕食後にヨガをする","食後に適度なストレッチをすることで、胃の活動が活発になるよ","ダイエットする"
"夕食後にヨガをする","食後に適度なストレッチをすることで、胃の活動が活発になるよ","病気になりにくい体を作る"
"お風呂に入る前に夕食を食べる","夕食はなるべく早めに食べると太りにくいよ","ダイエットする"
"お風呂に入る前に夕食を食べる","ダイエットする"
"間食をしない","ドーナツ食べたいなあ","ダイエットする"
"間食をしない","ドーナツ食べたいなあ","お金を節約する"
"間食をしない","ドーナツ食べたいなあ","病気になりにくい体を作る"
"夕食に有機野菜を使用する","おいしい野菜。おいしい生活。","病気になりにくい体を作る"
"夕食に有機野菜を使用する","おいしい野菜。おいしい生活。","家族の健康を考える"
"夕食に有機野菜を使用する","おいしい野菜。おいしい生活。","お金を節約する"
"添加物の入っている食材を買わない","混じりけのない関係がいいよね","病気になりにくい体を作る"
